"_id","_index","_score","_type","attributes.address","attributes.cycle_time","attributes.dimming","attributes.fill_color","attributes.icon_name","attributes.machine_status","attributes.nok_parts","attributes.oee_actual","attributes.oee_availability","attributes.oee_performance","attributes.oee_quality","attributes.ok_parts","attributes.part_number","attributes.status","changes.cycle_time","changes.fill_color","changes.machine_status","changes.nok_parts","changes.oee_actual","changes.oee_availability","changes.oee_performance","changes.oee_quality","changes.ok_parts","changes.part_number","changes.status","entity_id","entity_type_id","geom.coordinates","geom.type","interface.thingsboard_uuid",level,"name.en",ts,vendor
"Kcbve3QBZZbaXGm-PwdN",entities,,"_doc",,370,,"#e0b87b",machine,OK,3,"74.4",100,"83.33","89.29",25,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:51:50.962",thingsboard
"e8Xoe3QBZZbaXGm-1_th",entities,,"_doc",,296,,"#e0b87b",machine,OK,3,"74.53",100,"83.85","88.89",24,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:44:51.074",thingsboard
"LcXke3QBZZbaXGm-QvO5",entities,,"_doc",,347,,"#e0b87b",machine,OK,3,"73.72",100,"83.33","88.46",23,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:39:50.936",thingsboard
"LcXee3QBZZbaXGm-xOlq",entities,,"_doc",,354,,"#e0b87b",machine,OK,3,"73.33",100,"83.33",88,22,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:33:50.931",thingsboard
"ZcXZe3QBZZbaXGm-Rt8c",entities,,"_doc",,406,,"#e0b87b",machine,OK,3,"72.92",100,"83.33","87.5",21,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:27:50.923",thingsboard
"1cXSe3QBZZbaXGm-3dNx",entities,,"_doc",,394,,"#e0b87b",machine,OK,3,"72.99",100,"83.94","86.96",20,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:20:50.889",thingsboard
"Z8XMe3QBZZbaXGm-dMjH",entities,,"_doc",,378,,"#e0b87b",machine,OK,3,"73.08",100,"84.62","86.36",19,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:13:50.901",thingsboard
"CMXGe3QBZZbaXGm-DL0m",entities,,"_doc",,411,,"#e0b87b",machine,OK,3,"73.17",100,"85.37","85.71",18,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 06:06:50.897",thingsboard
"l8W_e3QBZZbaXGm-o7FB",entities,,"_doc",,325,,"#e0b87b",machine,OK,3,"73.28",100,"86.21",85,17,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:59:50.827",thingsboard
"scW6e3QBZZbaXGm-Jacj",entities,,"_doc",,323,,"#e0b87b",machine,OK,3,"72.73",100,"86.36","84.21",16,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:53:50.865",thingsboard
"08W0e3QBZZbaXGm-pp21",entities,,"_doc",,281,,"#e0b87b",machine,OK,3,"72.12",100,"86.54","83.33",15,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:47:50.816",thingsboard
